iter	Passed	Remaining
0	0	88
1	1	67
2	1	58
3	2	53
4	2	50
5	3	48
6	3	46
7	3	45
8	4	43
9	4	42
10	5	41
11	5	40
12	6	40
13	6	39
14	6	39
15	7	38
16	7	37
17	8	37
18	8	36
19	8	35
20	9	35
21	9	34
22	10	34
23	10	33
24	11	34
25	11	33
26	12	33
27	12	32
28	13	31
29	13	31
30	13	30
31	14	30
32	14	29
33	15	29
34	15	28
35	15	28
36	16	27
37	16	27
38	17	26
39	17	26
40	18	26
41	18	25
42	19	25
43	19	24
44	19	24
45	20	23
46	20	23
47	21	22
48	21	22
49	22	22
50	22	21
51	22	21
52	23	20
53	23	20
54	24	19
55	24	19
56	24	18
57	25	18
58	25	17
59	26	17
60	26	17
61	27	16
62	27	16
63	28	15
64	28	15
65	29	15
66	29	14
67	30	14
68	30	13
69	31	13
70	31	12
71	32	12
72	32	12
73	33	11
74	34	11
75	34	10
76	35	10
77	35	10
78	36	9
79	36	9
80	37	8
81	37	8
82	38	7
83	38	7
84	39	6
85	40	6
86	40	6
87	41	5
88	41	5
89	42	4
90	42	4
91	43	3
92	44	3
93	44	2
94	45	2
95	45	1
96	45	1
97	46	0
98	46	0
99	47	0
