version,time,symbol,action,dir,entry,exit,vol,pnl,trigger,trigger_detail,cash,equity
V31,2026-07-17 09:00:06,lh2609,OPEN,SHORT,11915.0,0,6,0,模型信号|SIGNAL,概率=0.425_置信=0.58_止损=12235,128424.0,128424.0
V31,2026-07-17 09:00:07,jm2609,OPEN,LONG,1261.0,0,3,0,模型信号|SIGNAL,概率=0.505_置信=0.51_止损=1202,94377.0,94377.0
V32b,2026-07-17 09:00:17,lh2609,OPEN,SHORT,11915.0,0,2,0,模型信号|SIGNAL,概率=0.396_置信=0.60_ATR=213.2_stop=12022,242808.0,242808.0
V29,2026-07-17 09:00:17,lh2609,OPEN,LONG,11915.0,0,5,0,模型信号|SIGNAL,概率=0.697_置信=0.70_ATR=213.2_stop=11595,113450.73,113450.73
V29,2026-07-17 09:00:17,jm2609,OPEN,SHORT,1261.0,0,1,0,模型信号|SIGNAL,概率=0.405_置信=0.60_ATR=32.9_stop=1327,102101.73,102101.73
V29,2026-07-17 10:08:16,lh2609,OPEN,LONG,11855.0,0,4,0,模型信号|SIGNAL,概率=0.697_置信=0.70_ATR=213.2_stop=11535,131274.0,131274.0
V31,2026-07-17 10:08:16,lh2609,OPEN,SHORT,11855.0,0,6,0,模型信号|SIGNAL,概率=0.425_置信=0.58_止损=12175,95241.0,95241.0
V31,2026-07-17 10:08:16,jm2609,OPEN,LONG,1267.0,0,3,0,模型信号|SIGNAL,概率=0.505_置信=0.51_止损=1208,61032.0,61032.0
V32,2026-07-17 10:30:24,lh2609,CLOSE,LONG,11960.0,11852.4,6,-10538.67,止损|STOP,有效止损=11852.4_硬止损=11743.4_追踪=11852.4_概率=0.396,289461.33,289461.33
V32,2026-07-17 10:30:25,lh2609,OPEN,SHORT,11850.0,0,5,0,模型信号|SIGNAL,概率=0.396_置信=0.60_ATR=213.2_stop=11957,147261.33,147261.33
